country,lifeQualityRank,lifeQualityIndex,Avg Living standards,safetyIndex,healthcareIndex,pollutionIndex,climateIndex
Argentina,55,114.21,1.1421,37.74,69.16,50.61,98.28
Australia,4,185.03,1.8503,58.33,77.81,23.22,94.2
Austria,6,181.68,1.8168,75.57,78.56,21.65,78.22
Azerbaijan,66,102.69,1.0269,,,,
Belarus,38,133.52,1.3352,74.98,60.03,43.58,64.37
Belgium,29,149.75,1.4975,54.71,74.8,53.66,86.03
Bosnia And Herzegovina,49,123.05,1.2305,56.43,53.22,61.72,80.48
Brazil,60,105.28,1.0528,31.69,56.87,54.67,94.1
Bulgaria,44,127.14,1.2714,61.45,56.2,65.43,82.76
Canada,21,158.88,1.5888,59.36,71.77,27.97,52.69
Chile,67,102.02,1.0202,50.4,64.38,79.74,90.21
Colombia,68,101.7,1.017,45.06,66.8,62.44,86.04
Croatia,23,156.77,1.5677,75.33,63.75,30.07,89.89
Cyprus,33,146.86,1.4686,68.43,52.53,55.11,92.8
Denmark,1,192.53,1.9253,73.91,80.17,21.52,81.8
Egypt,74,86.78,0.8678,53.35,46.29,84.69,91.98
Estonia,10,175.99,1.7599,76.44,72.52,19.02,64.28
Finland,3,186.4,1.864,74.47,75.96,11.79,59.21
France,26,150.68,1.5068,52.63,80.68,43.64,89.78
Georgia,52,116.37,1.1637,79.5,52.16,70.6,84.2
Germany,9,177.25,1.7725,64.86,73.35,29.28,83.13
Greece,41,131.51,1.3151,58.7,56.64,52.33,94.18
Hungary,43,128.4,1.284,64.77,48.05,48.66,79.48
Iceland,7,180.74,1.8074,76.3,65.61,16.2,68.81
India,59,105.86,1.0586,55.58,66.21,79.56,64.74
Indonesia,73,91.63,0.9163,53.94,60.51,66.9,68.48
Ireland,27,150.16,1.5016,54.32,52.27,34.29,89.13
Israel,32,146.89,1.4689,69.56,73.4,57.48,93.79
Italy,36,138.97,1.3897,55.76,66.95,55.65,91.64
Japan,17,163.23,1.6323,78.33,80.23,39.34,84.79
Jordan,56,114.06,1.1406,59.17,65.46,76.81,89.05
Kazakhstan,72,98.15,0.9815,45.19,60.94,72.1,39.78
Kuwait,54,115.14,1.1514,,,,
Lebanon,71,99.64,0.9964,55.93,63.65,88.91,94.74
Lithuania,20,159.77,1.5977,66.12,70.51,27.91,69.86
Malaysia,51,117.42,1.1742,41.45,68.87,62.81,59.21
Mexico,50,120.65,1.2065,46.69,72.11,63.29,86.29
Morocco,64,104.94,1.0494,51.03,46.32,70.1,87.96
Netherlands,5,184.18,1.8418,72.85,78.68,26.11,87.53
New Zealand,8,178.22,1.7822,57.81,73.82,23.52,95.46
Norway,11,174.55,1.7455,65.38,74.51,20.14,71.37
Oman,12,173.08,1.7308,,,,
Pakistan,62,105.09,1.0509,55.82,60.69,73.48,71.93
Panama,57,112.01,1.1201,53.8,60.43,59.03,67.84
Poland,46,125.2,1.252,66.87,51.96,63.09,76.03
Portugal,18,162.46,1.6246,70.17,71.88,30.38,97.72
Qatar,22,156.9,1.569,88.1,73.03,60.41,36.03
Romania,40,131.69,1.3169,72.18,55.46,58.79,77.69
Saudi Arabia,30,148.94,1.4894,73.32,60.42,64.34,45.98
Serbia,53,116.08,1.1608,62.27,51.74,61.21,83.23
Singapore,34,142.25,1.4225,68.47,70.97,33.3,57.45
Slovakia,28,149.93,1.4993,70.19,60.23,39.99,78.13
Slovenia,14,169.81,1.6981,79.05,65.16,23.53,77.56
South Africa,39,132.29,1.3229,22.71,64.16,57.12,95.25
Spain,16,167.05,1.6705,67.67,78.69,40.37,93.98
Sweden,13,172.18,1.7218,52.57,69.15,19.05,73.97
Switzerland,2,190.92,1.9092,78.42,73.1,21.89,80.05
Thailand,69,101.64,1.0164,59.99,78.04,75.26,69.45
Turkey,45,126.4,1.264,60.5,70.36,66.22,93.26
Ukraine,61,105.26,1.0526,51.16,52.69,65.14,71.14
United Arab Emirates,24,155.41,1.5541,84.55,67.92,50.66,45.23
United Kingdom,19,161.2,1.612,55.46,74.88,40.62,87.77
United States,15,169.78,1.6978,52.3,69.2,38.17,76.69
Uruguay,47,124.8,1.248,46.98,67.36,45.8,98.04
