,iso,country,gdp_pc,gpi_rank,gpi_score,percentage_non_religious
4,ARG,Argentina,14700,44,1.763,1.19
6,AUS,Australia,41000,22,1.494,19
7,AUT,Austria,40400,6,1.328,30.2
8,AZE,Azerbaijan,10900,132,2.36,0
14,BGR,Bulgaria,13500,39,1.699,0
16,BIH,Bosnia and Herzegovina,6600,65,1.923,9.9
17,BLR,Belarus,13600,109,2.208,0
19,BRA,Brazil,10800,83,2.017,7.6
20,BTN,Bhutan,5500,19,1.481,0
23,CAN,Canada,39400,4,1.317,25.5
25,CHL,Chile,15400,30,1.616,8.3
31,COL,Colombia,9800,144,2.625,2
34,CYP,Cyprus,28900,73,1.957,1.3
36,DEU,Germany,35700,15,1.424,40
38,DNK,Denmark,36600,2,1.239,6.9
42,EGY,Egypt,6200,111,2.22,0
45,EST,Estonia,19100,41,1.715,60
47,FIN,Finland ,35400,9,1.348,16
48,FRA,France,33100,40,1.71,47.5
50,GBR,United Kingdom,34800,29,1.609,33.75
51,GEO,Georgia,4900,141,2.541,0.7
57,GRC,Greece,29600,77,1.976,0
61,HRV,Croatia,17400,35,1.648,3.6
63,HUN,Hungary,18800,17,1.476,24.7
64,IDN,Indonesia,4200,63,1.913,0
65,IND,India,3500,142,2.549,0.1
66,IRL,Ireland,37300,6,1.328,6.3
69,ISL,Iceland,38300,1,1.113,10.04
70,ISR,Israel,29800,150,2.842,3.4
71,ITA,Italy,30500,38,1.69,20.5
73,JOR,Jordan,5400,62,1.905,0
74,JPN,Japan,34000,5,1.326,77
75,KAZ,Kazakhstan,12700,105,2.151,5
80,KWT,Kuwait,48900,47,1.792,0.07
82,LBN,Lebanon,14400,136,2.459,0
87,LTU,Lithuania,16000,43,1.741,9.5
89,MAR,Morocco,4800,54,1.867,0
92,MEX,Mexico,13900,135,2.445,10.64
102,MYS,Malaysia,14700,20,1.485,0.8
107,NLD,Netherlands,40300,28,1.606,59
108,NOR,Norway,54600,18,1.48,6.7
110,NZL,New Zealand,27700,2,1.239,34.6
111,OMN,Oman,25600,59,1.887,0.2
112,PAK,Pakistan,2500,149,2.833,0.2
113,PAN,Panama,13000,61,1.899,2
117,POL,Poland,18800,24,1.524,3
119,PRT,Portugal,23000,16,1.47,8.38
121,ROU,Romania,11600,32,1.627,0.1
124,SAU,Saudi Arabia,24200,106,2.178,0
127,SGP,Singapore,62100,23,1.521,13
131,SRB,Serbia,10900,64,1.92,5
132,SVK,Slovakia,22000,26,1.59,15.8
133,SVN,Slovenia,28200,8,1.33,30
134,SWE,Sweden,39100,14,1.419,31.5
138,THA,Thailand,8700,126,2.303,0
143,TUR,Turkey,7500,130,2.344,0
147,UKR,Ukraine,6700,71,1.953,0
148,URY,Uruguay,13700,33,1.628,17
149,USA,United States,47200,88,2.058,15.1
153,ZAF,South Africa,10700,127,2.321,1
